User_ID,Age,Gender,Social_Media_Hours,Exercise_Hours,Sleep_Hours,Screen_Time_Hours,Survey_Stress_Score,Wearable_Stress_Score,Support_System,Academic_Performance, Social_Media_Hours,Parental_Pressure,Peer_Pressure,Mood_Rating,Self_Esteem_Score,Relationship_Issues,Time_Management,Home_Environment,Sleep_Quality,Financial_Stress,Diet_Quality,Anxiety_Symptoms
1,16,F,9.654486346,2,5,8,3,0.288962247,Moderate,Excellent,10,2,2,2,2.57,1,1,2,0,0,1,0
2,17,M,9.158143482,0,9,5,5,0.409446165,Moderate,Good,9,0,0,2,2.45,1,0,1,0,0,1,2
3,15,M,5.028755201,1,5,9,2,0.423837485,Moderate,Poor,5,2,2,4,2.27,1,0,1,1,0,0,1
4,17,F,7.951102825,1,5,10,5,0.666020828,Moderate,Average,8,2,0,1,4.58,1,2,1,2,0,0,0
5,17,F,1.357458531,1,6,11,5,0.928060356,High,Poor,1,0,2,2,2.99,1,1,2,0,0,1,1
6,14,M,9.774381842,1,9,6,5,0.070586489,Low,Poor,10,0,2,4,3.4,0,1,0,1,0,0,1
7,15,F,9.64353234,2,5,9,4,0.953353593,Low,Excellent,10,2,0,2,1.72,1,2,2,2,0,0,2
8,15,F,1.637289579,0,5,8,4,0.910201284,Moderate,Poor,2,1,2,3,3.16,1,0,1,2,1,2,0
9,15,M,2.994231248,1,7,7,5,0.1177323,Low,Poor,3,2,1,2,2.1,1,0,0,0,1,0,0
10,17,M,1.001549975,3,6,11,2,0.183585031,Moderate,Good,1,2,0,2,3.92,0,0,0,2,0,1,0
11,16,M,2.717175989,0,7,2,1,0.311595601,High,Excellent,3,2,1,5,4.33,0,0,1,2,0,1,1
12,15,F,8.159557894,3,7,5,3,0.559666041,Low,Good,8,2,0,3,3.86,1,2,2,0,0,1,0
13,18,F,3.783156072,3,7,7,4,0.134476196,Moderate,Good,4,0,2,1,3.92,1,1,0,1,0,1,1
14,17,M,0.883969671,0,5,4,1,0.200334953,Low,Good,1,2,2,2,3.05,1,0,0,1,1,2,1
15,14,M,3.422255248,1,5,11,4,0.902675294,Moderate,Excellent,3,1,2,1,3.85,1,1,1,0,0,0,1
16,16,F,9.813833342,1,9,8,4,0.109300631,Low,Average,10,0,0,3,2.69,0,1,0,0,1,1,0
17,18,M,6.296835953,2,9,7,4,0.398878265,High,Excellent,6,1,1,2,3.61,0,0,0,1,1,2,2
18,18,F,4.161609464,2,5,10,5,0.763001778,Low,Good,4,1,1,5,2.04,1,0,0,1,1,1,1
19,14,F,1.665385135,2,5,7,5,0.888583117,High,Average,2,1,0,4,1.28,1,0,2,0,1,0,2
20,16,M,9.861767973,2,4,8,4,0.336042563,High,Poor,10,1,0,5,2.65,0,1,2,0,1,2,0
21,17,M,8.208490093,0,8,2,4,0.164437505,Moderate,Average,8,0,1,5,2.85,0,2,1,0,1,0,0
22,13,F,2.814773025,2,8,6,3,0.737011659,Moderate,Excellent,3,0,1,4,2.03,1,0,2,2,0,2,0
23,16,M,0.700686957,2,6,3,1,0.772557759,Low,Good,1,1,1,4,3.91,1,1,0,0,0,1,0
24,14,M,0.566255574,2,8,9,1,0.980033444,High,Poor,1,1,1,4,1.29,1,1,2,2,1,1,0
25,18,M,1.203781495,3,8,7,2,0.139541851,Moderate,Poor,1,0,0,2,1.89,0,0,0,1,0,0,2
26,17,M,5.807685836,2,10,5,2,0.709420883,High,Good,6,0,0,1,3.99,0,2,0,1,1,0,0
27,16,F,9.287634212,1,4,7,2,0.417292538,High,Poor,9,0,2,1,2.75,0,0,2,0,0,2,0
28,13,F,4.96743428,1,5,4,5,0.914629438,High,Poor,5,2,1,4,3.82,0,0,2,0,1,0,0
29,13,F,8.429454825,1,4,11,5,0.407830884,Low,Poor,8,2,2,5,3.27,1,2,2,1,1,0,0
30,15,F,4.458866199,0,9,3,3,0.445960376,High,Excellent,4,2,0,3,4.8,0,0,2,1,0,1,0
31,15,M,7.085835458,3,9,11,5,0.126796598,High,Average,7,1,0,4,3.39,0,0,1,1,1,1,1
32,14,M,7.318727373,0,7,7,2,0.320936785,Low,Excellent,7,2,2,5,1.06,0,2,2,1,0,1,1
33,16,F,1.739637059,2,5,8,4,0.40084047,Low,Poor,2,1,1,5,2.41,1,1,1,0,1,1,2
34,16,F,3.61216059,2,6,5,2,0.017508754,Moderate,Excellent,4,1,1,2,1.57,0,1,0,2,0,1,0
35,18,M,6.373021565,0,6,12,3,0.437574468,High,Poor,6,2,1,2,4.7,0,1,1,1,0,1,2
36,18,F,0.706966082,3,7,5,4,0.336318551,High,Excellent,1,1,1,1,1.42,0,1,0,1,0,1,2
37,18,F,3.615401878,3,6,8,5,0.803839736,Low,Average,4,2,2,1,2.55,1,1,1,2,0,2,0
38,15,M,5.347994663,2,4,12,4,0.107112613,Low,Good,5,2,2,3,1.9,0,0,1,0,0,1,0
39,16,F,9.96224493,1,8,11,3,0.760211127,Moderate,Average,10,0,0,3,4.39,1,2,0,2,1,1,1
40,16,M,4.745335626,0,6,7,5,0.714011543,Low,Excellent,5,2,1,3,2.23,1,1,1,0,1,1,0
41,13,M,8.160567571,1,7,12,1,0.241782328,Low,Excellent,8,0,1,3,4.97,0,2,0,0,0,1,1
42,15,F,4.320672851,1,5,9,2,0.083271668,Low,Average,4,2,1,5,1.15,1,1,2,0,1,1,2
43,17,M,7.963907226,2,9,4,2,0.841833446,Low,Excellent,8,2,2,5,1.51,0,0,0,0,1,0,2
